单词,English,Arabic
偏差（六级）,bias,انحراف
偏见（六级）,bias,تحيز
偏僻（六级）,remote,بعيد
偏偏（六级）,just,لكن
片断（六级）,fragment,مقتطف
片刻（六级）,moment,لحظة
漂浮（六级）,float,يطفو
飘扬（六级）,fluttering,طيران
撇（六级）,skim,الفاصلة العليا
拼搏（六级）,work hard,كفاح
拼命（六级）,desperately,متحرّق إلى
贫乏（六级）,poor,فقير
贫困（六级）,poverty,فقير
频繁（六级）,frequent,مرارًا
频率（六级）,frequency,تكرار
品尝（六级）,taste,ذوق
品德（六级）,character,الأخلاق
品质（六级）,quality,جودة
品种（六级）,variety,متنوع
平凡（六级）,ordinary,عادي
平面（六级）,plane,مستوي
平坦（六级）,flat,مستوي
平行（六级）,parallel,موازي
平庸（六级）,mediocre,متوسط
平原（六级）,plain,السهول
评估（六级）,evaluate,يقيم
评论（六级）,comment,تعليق
屏幕（六级）,screen,شاشة
屏障（六级）,barrier,حاجز
坡（六级）,slope,المنحدر
泼（六级）,splash,دفقة
颇（六级）,quite,تمامًا
迫不及待（六级）,can't wait,لا يمكنني الانتظار
迫害（六级）,persecution,الاضطهاد
破例（六级）,make an exception,اصنع استثناء
魄力（六级）,courage,شجاعة
扑（六级）,flutter,رفرفة
铺（六级）,shop,محل
朴实（六级）,simple,بسيط
朴素（六级）,plain,بسيط
普及（六级）,popularize,عالمي
瀑布（六级）,waterfall,يسقط
凄凉（六级）,bleak,مقفر
期望（六级）,expectation,يتوقع
期限（六级）,deadline,على المدى
欺负（六级）,bully,متنمر
欺骗（六级）,cheat,يغش
齐全（六级）,complete,مكتمل
齐心协力（六级）,work together,العمل معا
奇妙（六级）,wonderful,رائع
歧视（六级）,discrimination,التمييز
旗袍（六级）,cheongsam,شيونغسام
旗帜（六级）,flag,لافتة
乞丐（六级）,beggar,متسول
岂有此理（六级）,outrageous,كيف يمكن أن يكون هذا ممكنا؟
企图（六级）,attempt,محاولة
启程（六级）,depart,رحيل
启蒙（六级）,enlightenment,التنوير
启示（六级）,revelation,تداعيات
启事（六级）,notice,يلاحظ
起草（六级）,draft,صياغة
起初（六级）,at first,في البداية
起伏（六级）,ups and downs,الصعود والهبوط
起哄（六级）,coax,التهكم
起码（六级）,at least,على الأقل
起源（六级）,origin,أصل
气概（六级）,spirit,روح
气功（六级）,qigong,تشي غونغ
气魄（六级）,courage,شجاعة
气色（六级）,complexion,بشرة
气势（六级）,momentum,دَفعَة
气味（六级）,smell,رائحة
气象（六级）,meteorology,الأرصاد الجوية
气压（六级）,air pressure,ضغط الهواء
气质（六级）,temperament,مزاج
迄今为止（六级）,so far,حتى الآن
器材（六级）,equipment,معدات
器官（六级）,organ,عضو
掐（六级）,pinch,قرصة
洽谈（六级）,negotiate,التفاوض
恰当（六级）,appropriate,ملائم
恰到好处（六级）,just right.,مناسب تماما
恰巧（六级）,happen to be,بالصدفة
千方百计（六级）,do everything possible,لا تترك حجرا دون أن تقلبه
迁就（六级）,accommodate,يستوعب
迁徙（六级）,migration,الهجرة
牵（六级）,lead,يحذب
牵扯（六级）,involve,يتضمن
牵制（六级）,contain,يحتوي
谦逊（六级）,humble,متواضع
签署（六级）,sign,لافتة
前景（六级）,prospect,احتمال
前提（六级）,premise,فرضية
潜力（六级）,potential,محتمل
潜水（六级）,diving,الغوص
潜移默化（六级）,subtle,لا شعوريًا
谴责（六级）,condemn,إدانة
强制（六级）,force,التنفيذ
抢劫（六级）,robbery,سرقة
抢救（六级）,rescue,ينقذ
强迫（六级）,force,قوة
桥梁（六级）,bridge,كوبري
窍门（六级）,trick,نصائح
翘（六级）,warp,الاعوجاج
切实（六级）,practical,عملي
锲而不舍（六级）,perseverance,مثابرة
钦佩（六级）,admire,الإعجاب
侵犯（六级）,violation,انتهاك
侵略（六级）,aggression,عدوان
亲密（六级）,intimacy,يغلق
亲热（六级）,affectionate,حنون
勤俭（六级）,thrift,الاجتهاد
勤劳（六级）,industrious,مجتهد
倾听（六级）,listen,يستمع
倾向（六级）,tendency,نزعة
倾斜（六级）,tilt,إمالة
清澈（六级）,clear,واضح
清晨（六级）,early morning,الصباح الباكر
清除（六级）,clear,واضح
清洁（六级）,clean,ينظف
清理（六级）,clean up,تنظيف
清晰（六级）,clear,الوضوح
清醒（六级）,awake,مستيقظ تماما
清真（六级）,halal,مسلم
情报（六级）,intelligence,ذكاء
情节（六级）,plot,حبكة
情理（六级）,reasonable,حاسة
情形（六级）,situation,الموقف
晴朗（六级）,sunny,مشمس
请柬（六级）,invitation,الدعوات
请教（六级）,ask,استشارة
请示（六级）,ask for instructions,طلب
请帖（六级）,invitation,دعوة
丘陵（六级）,hills,التلال
区分（六级）,distinguish,يميز
区域（六级）,area,منطقة
曲折（六级）,twists and turns,متعرج
驱逐（六级）,expulsion,طرد
屈服（六级）,yield,أَثْمَر
渠道（六级）,channel,قناة
曲子（六级）,tune,أغنية
取缔（六级）,ban,حظر
趣味（六级）,fun,ذوق
圈套（六级）,trap,فخ
权衡（六级）,weigh in,التنازل عن ميزة ممن أجل الحصول على أخرى
权威（六级）,authority,سلطة
全局（六级）,global,عالمي
全力以赴（六级）,go all out,ابذل قصارى جهدك
拳头（六级）,fist,قبضة
犬（六级）,dog,كلب
缺口（六级）,gap,فجوة
缺席（六级）,absent,غائب
缺陷（六级）,defect,عيب
瘸（六级）,lame,عاجِز
确保（六级）,ensure,تأكد
确立（六级）,establish,يٌرسّخ
确切（六级）,exact,دقيق
确信（六级）,sure,تأكيد
群众（六级）,crowd,الجماهير
染（六级）,dye,صبغ
嚷（六级）,shout,صرخة
让步（六级）,concession,امتياز
饶恕（六级）,forgive,سامح
扰乱（六级）,disturb,يزعج
惹祸（六级）,cause trouble,كارثة المحكمة
热泪盈眶（六级）,tears welling up,الدموع في عيني
热门（六级）,popular,شائع
人道（六级）,humane,إنساني
人格（六级）,personality,شخصية
人工（六级）,manual,صناعي
人家（六级）,people,آحرون
人间（六级）,the world,عالم
人士（六级）,person,شخص
人为（六级）,artificial,بشر
人性（六级）,human nature,الطبيعة البشرية
人质（六级）,hostage,رهينة
仁慈（六级）,mercy,العطف
忍耐（六级）,patience,يكابد
忍受（六级）,endure,دُبٌّ
认定（六级）,identify,تعريف
认可（六级）,recognition,تعرُّف
任命（六级）,appoint,ميعاد
任性（六级）,willful,متقلب
任意（六级）,arbitrary,أي
任重道远（六级）,long way to go,طريق طويل لنقطعه
仍旧（六级）,still,ما زال
日新月异（六级）,every day changes,متغير باستمرار
日益（六级）,increasingly,بشكل متزايد
荣幸（六级）,honored,سرور
荣誉（六级）,honor,شرف
容貌（六级）,appearance,مظهر
容纳（六级）,accommodate,يستوعب
容器（六级）,container,حاوية
容忍（六级）,tolerance,يسامح
溶解（六级）,dissolve,حل
融化（六级）,melt,ذوبان
融洽（六级）,harmony,انسجام
柔和（六级）,soft,ناعم
揉（六级）,knead,فرك
儒家（六级）,confucianism,الكونفوشيوسية
若干（六级）,several,عديد
弱点（六级）,weakness,ضعف
撒谎（六级）,lie,كذب
散文（六级）,prose,نثر
散布（六级）,spread,الانتشار
散发（六级）,distribute,الانتشار
丧失（六级）,lose,خسارة
骚扰（六级）,harassment,تحرش
嫂子（六级）,sister-in-law,أخت الزوج أو اخت الزوجة
刹车（六级）,brake,الفرامل
啥（六级）,what?,ماذا
筛选（六级）,filter,فلتر
山脉（六级）,mountains,الجبال
闪烁（六级）,flicker,فلاش
擅长（六级）,good at,التخصصات
擅自（六级）,unauthorized,غير مصرح به
伤脑筋（六级）,nerve racking,مزعج
商标（六级）,trademark,علامة تجارية
上级（六级）,superior,أرقى
上进（六级）,moving forward,تقدم
上任（六级）,take office,تولي المنصب
上瘾（六级）,addiction,مدمن
上游（六级）,upstream,المنبع
尚且（六级）,even,ما زال
捎（六级）,take,خذ معك
梢（六级）,shoot,نصيحة
哨（六级）,whistle,بريد
奢侈（六级）,luxury,رفاهية
舌头（六级）,tongue,لسان
设立（六级）,set up,يثبت
设想（六级）,imagine,افتراض
设置（六级）,set,يثبت
社区（六级）,community,مجتمع
涉及（六级）,involve,متضمن
摄氏度（六级）,celsius,درجة مئوية
申报（六级）,declare,يعلن
呻吟（六级）,moan,أنين
绅士（六级）,gentleman,رجل نبيل
深奥（六级）,esoteric,بالغ
深沉（六级）,deep,عميق
深情厚谊（六级）,deep friendship,صداقة عميقة
神经（六级）,nerve,العصب
神奇（六级）,magic,سحر
神气（六级）,air,هواء
神圣（六级）,holy,مقدس
神态（六级）,demeanor,تعبير
神仙（六级）,fairy,أبدي
审查（六级）,review,مراجعة
审理（六级）,trial,محاكمة
审美（六级）,aesthetic,الجماليات
审判（六级）,trial,الحكم
渗透（六级）,penetration,اختراق
慎重（六级）,be careful,حذر
生存（六级）,survive,ينجو
生机（六级）,vitality,حيوية
生理（六级）,physiology,فسيولوجي
生疏（六级）,rusty,صدئ
生态（六级）,ecology,علم البيئة
生物（六级）,creature,علم الأحياء
生肖（六级）,zodiac,الأبراج الصينية
生效（六级）,take effect,فعال
生锈（六级）,rust,الصدأ
生育（六级）,fertility,خصوبة
声明（六级）,statement,إفادة
声势（六级）,momentum,دَفعَة
声誉（六级）,reputation,سمعة
牲畜（六级）,livestock,الماشية
省会（六级）,provincial capital,عاصمة المقاطعة
胜负（六级）,win or lose,الفوز أو الخسارة
盛产（六级）,rich,ثري
盛开（六级）,bloom,يزدهر
盛情（六级）,hospitality,ضيافة
盛行（六级）,prevailing,انتشار
尸体（六级）,corpse,جثة
失事（六级）,wreck,الحادث
失误（六级）,mistake,الأخطاء
失踪（六级）,missing,مفتقد
师范（六级）,normal,طبيعي
施加（六级）,apply,فرض
施展（六级）,cast,يقذف
十足（六级）,full,ممتلىء
石油（六级）,oil,زيت
时常（六级）,often,غالباً
时而（六级）,sometimes,أحيانا
时光（六级）,time,وقت
时机（六级）,timing,فرصة
时事（六级）,current affairs,الأحداث الجارية
识别（六级）,identify,تعريف
实惠（六级）,affordable,بسعر معقول
实力（六级）,strength,قوة
实施（六级）,implement,تطبيق
实事求是（六级）,seek truth from facts,ابحث عن الحقيقة من الحقائق
实行（六级）,implement,تطبيق
实质（六级）,substance,مادة
拾（六级）,pick up,يلتقط
使命（六级）,mission,مهمة
示范（六级）,demonstration,توضيح
示威（六级）,demonstration,المظاهرات
示意（六级）,signal,تَلمِيح
世代（六级）,generation.,جيل
势必（六级）,bound,ملزم بـ
势力（六级）,power,قوة
事故（六级）,accident,حادثة
5,,5
事件（六级）,event,حدث
事态（六级）,situation,الموقف
事务（六级）,transaction,المعاملات
事项（六级）,matters,موضوع
事业（六级）,career,سبب
试图（六级）,try,محاولة
试验（六级）,test,امتحان
视力（六级）,vision,رؤية
视频（六级）,video,فيديو
视线（六级）,line of sight,رؤية
视野（六级）,field of view,مجال الرؤية
是非（六级）,right and wrong,الصواب والخطأ
适宜（六级）,suitable,مناسب
逝世（六级）,die,موت
释放（六级）,release,يطلق
收藏（六级）,collection,يجمع
收缩（六级）,contraction,ينكمش
收益（六级）,income,دخل
收音机（六级）,radio,راديو
手法（六级）,method,تقنية
手势（六级）,gesture,إيماءة
手艺（六级）,craft,حرفة
守护（六级）,guard,يحمي
首饰（六级）,jewelry,مجوهرات
首要（六级）,primary,أساسي
受罪（六级）,suffer,يعاني
授予（六级）,grant,منحة
书法（六级）,calligraphy,الخط
书籍（六级）,books,كتب
书记（六级）,secretary,سكرتير
书面（六级）,written,مكتوب
舒畅（六级）,comfortable,مريح
疏忽（六级）,negligence,الإهمال
疏远（六级）,alienation,الاغتراب
束（六级）,bundle,باقة
束缚（六级）,bondage,عبودية
树立（六级）,establish,يٌرسّخ
竖（六级）,vertical,رَأسِيّ
数额（六级）,amount,كمية
耍（六级）,play,يلعب
衰老（六级）,aging,الشيخوخة
衰退（六级）,recession,انخفاض
率领（六级）,lead,يقود
涮火锅（六级）,shabu hot pot,شابو شابو
双胞胎（六级）,twins,التوأم
爽快（六级）,refreshing,بسهولة
水利（六级）,water conservancy,هيئة الحفاظ على المياه
水龙头（六级）,faucet,صنبور
水泥（六级）,cement,أسمنت
瞬间（六级）,moment,لحظة
司法（六级）,justice,قضائي
司令（六级）,commander,قائد
私自（六级）,privately,بشكل خاص
思念（六级）,miss,يفتقد
思索（六级）,think,التفكير
思维（六级）,thinking,التفكير
斯文（六级）,sven,سفين
死亡（六级）,death,يموت
四肢（六级）,limbs,الأطراف
寺庙（六级）,temple,معبد
饲养（六级）,feeding,تغذية
肆无忌惮（六级）,unscrupulous,عديم الضمير
耸（六级）,shrug,شاهق
艘（六级）,ship,سفينة
苏醒（六级）,wake up,استيقظ
俗话（六级）,proverb,مقولة شائعة
诉讼（六级）,litigation,التقاضي
素食（六级）,vegetarian diet,النظام الغذائي النباتي
素质（六级）,quality,جودة
塑造（六级）,shape,شكل
算数（六级）,arithmetic,عدد
随即（六级）,immediately,في الحال
随意（六级）,at will,عشوائي
岁月（六级）,years,سنين
隧道（六级）,tunnel,نفق
损坏（六级）,damage,ضرر
索取（六级）,ask,طلب
索性（六级）,simply,ببساطة
塌（六级）,collapse,ينهار
踏实（六级）,practical,عملي
塔（六级）,tower,برج
台风（六级）,typhoon,إعصار
太空（六级）,space,فضاء
泰斗（六级）,master,يتقن
贪婪（六级）,greed,طماع
贪污（六级）,corruption,فساد
摊（六级）,stall,كشك
瘫痪（六级）,paralysis,شلل
弹性（六级）,elasticity,مرونة
坦白（六级）,frank,صريح
叹气（六级）,sigh,تنهد
探测（六级）,probe,كشف
探索（六级）,explore,يستكشف
探讨（六级）,explore,مناقشة
探望（六级）,visit,يزور
倘若（六级）,if,لو
掏（六级）,dig,حفر
滔滔不绝（六级）,gush,التحدث بلا توقف
陶瓷（六级）,ceramics,السيراميك
陶醉（六级）,intoxicated,عربد
淘汰（六级）,eliminated,عدم الاستخدام
讨好（六级）,please,لو سمحت
特长（六级）,specialty,سمات
特定（六级）,specific,محدد
特意（六级）,specially,خصيصا
提拔（六级）,promote,تمت ترقيته
提炼（六级）,refine,التكرير
提示（六级）,hint,تَلمِيح
提议（六级）,propose,عرض
题材（六级）,subject matter,سمة
体裁（六级）,genre,النوع
体积（六级）,volume,مقدار
体谅（六级）,understand,مراعي
体面（六级）,decent,مقبول
体系（六级）,system,نظام
天才（六级）,genius,عبقري
天赋（六级）,talent,الموهبة
天伦之乐（六级）,family joy,سعادة العائلة
天然气（六级）,natural gas,الغاز الطبيعي
天生（六级）,born,وُلِدّ
天堂（六级）,heaven,سماء
天文（六级）,astronomy,فلكي
田径（六级）,athletics,ألعاب القوى
田野（六级）,field,مجال
舔（六级）,lick,يلعق
挑剔（六级）,picky,من الصعب إرضاءه
条款（六级）,terms,شروط
条理（六级）,organization,منظمة
条约（六级）,treaty,معاهدة
调和（六级）,harmony,تصالح
调剂（六级）,adjust,يُعدِّل
调节（六级）,adjust,يُعدِّل
调解（六级）,mediation,وساطة
调料（六级）,seasoning,توابل
挑拨（六级）,provoke,يتنحنح
挑衅（六级）,provocation,استفزازي
跳跃（六级）,jump,القفز
亭子（六级）,pavilion,جناح
停泊（六级）,berth,رسو
停顿（六级）,pause,يوقف
停滞（六级）,stagnation,ركود
挺拔（六级）,tall and straight,طويل ومستقيم
通货膨胀（六级）,inflation,تضخم اقتصادي
通缉（六级）,wanted,مطلوب
通俗（六级）,popular,شائع
通讯（六级）,communication,تواصل
通用（六级）,general purpose,عام
同胞（六级）,compatriot,زميل
同志（六级）,comrade,الرفيق
铜（六级）,copper,نحاس
童话（六级）,fairy tale,حكاية خيالية
统筹兼顾（六级）,make overall plans and take all factors into consideration,الاعتبار العام
统计（六级）,statistics,إحصائيات
统统（六级）,all,الجميع
统治（六级）,rule,قاعدة
投机（六级）,speculation,التكهنات
投票（六级）,vote,تصويت
投诉（六级）,complaint,شكوى
投降（六级）,surrender,يستسلم
投掷（六级）,throw,يرمي
透露（六级）,disclose,الإفصاح
秃（六级）,baldness,أصلع
突破（六级）,breakthrough,اختراق
图案（六级）,pattern,نمط
徒弟（六级）,apprentice,متدرب
途径（六级）,way,طريق
涂抹（六级）,smear,تشويه
土壤（六级）,soil,تربة
团结（六级）,unity,الوحدة
团体（六级）,group,مجموعة
团圆（六级）,reunion,جمع شمل
推测（六级）,guess,التكهنات
推翻（六级）,overturn,الإطاحة
推理（六级）,inference,الاستدلال
推论（六级）,inference,الاستدلال
推销（六级）,promote,يبيع
吞吞吐吐（六级）,hesitant,يتردد
托运（六级）,consignment,شحنة
拖延（六级）,procrastinate,تسويف
脱离（六级）,disengage,انفصال
妥当（六级）,proper,ملائم
妥善（六级）,properly,سليم
妥协（六级）,compromise,مساومة
椭圆（六级）,ellipse,بيضاوي
唾弃（六级）,spurn,طرح جانبا
挖掘（六级）,excavate,حفر
哇（六级）,wow,رائع
娃娃（六级）,doll,طفل
瓦解（六级）,collapse,ينهار
歪曲（六级）,distort,تشويه
外表（六级）,appearance,مظهر
外行（六级）,layman,شخص عادي
外界（六级）,outside world,العالم الخارجي
外向（六级）,outgoing,الانبساط
丸（六级）,pill,حبة
完备（六级）,complete,مكتمل
完毕（六级）,complete,مكتمل
玩弄（六级）,play,يلعب
玩意儿（六级）,stuff,شيء
顽固（六级）,stubborn,عنيد
顽强（六级）,tenacious,عنيد
挽回（六级）,save,يسترد
挽救（六级）,save,يحفظ
惋惜（六级）,regret,يندم
万分（六级）,very,لأقصى حد
往常（六级）,usual,المعتاد
往事（六级）,past,ماضي
妄想（六级）,delusion,الوهم
危机（六级）,crisis,مصيبة
威风（六级）,prestige,هيبة
威力（六级）,power,قوة
威望（六级）,prestige,هيبة
威信（六级）,prestige,هيبة
微不足道（六级）,insignificant,لا يُذكر
微观（六级）,micro,مايكرو
为难（六级）,embarrassed,صعب
为期（六级）,duration,مدة
违背（六级）,violate,انتهاك
唯独（六级）,only,فقط
维持（六级）,maintain,يحافظ على
维护（六级）,maintain,يحافظ على
维生素（六级）,vitamin,الفيتامينات
伪造（六级）,forgery,تزوير
委托（六级）,delegate,وفد
委员（六级）,commissioner,عضو
卫星（六级）,satellite,القمر الصناعي
未免（六级）,rather,ليس بالضرورة
畏惧（六级）,fear,يخاف
喂（动词）（六级）,hello,تغذية (فعل)
蔚蓝（六级）,azure,أزور
慰问（六级）,condolences,التعازي
温带（六级）,temperate zone,المنطقة المعتدلة
温和（六级）,mild,خفيف
文凭（六级）,diploma,دبلوم
文物（六级）,cultural relics,الآثار الثقافية
文献（六级）,literature,الأدب
文雅（六级）,elegant,رائع
文艺（六级）,literature and art,الأدب والفن
问世（六级）,come out,يخرج
窝（六级）,nest,عش
乌黑（六级）,jet black,أسود كالفحم
污蔑（六级）,slander,القذف
诬陷（六级）,false accusation,اتهام كاذب
无比（六级）,incomparable,لا مثيل لها
无偿（六级）,gratuitous,حر
无耻（六级）,shameless,وقح
无动于衷（六级）,indifferent,غير مبال
无非（六级）,nothing more than,لا شيء أكثر
无辜（六级）,innocent,البريء
无精打采（六级）,listless,فاتر
无赖（六级）,rascal,مارق
无理取闹（六级）,vexatious,إثارة المشاكل دون سبب
无能为力（六级）,powerless,لا يمكن فعل شيء
无穷无尽（六级）,infinite,لا نهاية لها
无微不至（六级）,meticulous,دقيق
无忧无虑（六级）,carefree,خالي من الهموم
无知（六级）,ignorance,الجهل
武器（六级）,weapon,الأسلحة
武侠（六级）,wuxia,فنون القتال
武装（六级）,armed,التسليح
侮辱（六级）,insult,يسُبّ
舞蹈（六级）,dance,الرقص
务必（六级）,must,تأكد
物美价廉（六级）,high quality and low price,جودة جيدة وسعر منخفض
物业（六级）,property,ملكية
物资（六级）,material,لوازم
误差（六级）,error,خطأ
误解（六级）,misunderstanding,سوء الفهم
夕阳（六级）,sunset,غروب
昔日（六级）,yesterday,سابق
牺牲（六级）,sacrifice,تصحية
溪（六级）,creek,خور
熄灭（六级）,extinguish,عن
膝盖（六级）,knee,ركبة
习俗（六级）,custom,مخصص
袭击（六级）,attack,غارة
媳妇（六级）,wife,ابنة بالنسب
喜闻乐见（六级）,love to see and hear,شائع
喜悦（六级）,joy,مرح
系列（六级）,series,مسلسل
细胞（六级）,cell,خلية
细菌（六级）,bacteria,البكتيريا
细致（六级）,meticulous,دقيق
峡谷（六级）,canyon,الوادي
狭隘（六级）,narrow-minded,ضيق
狭窄（六级）,narrow,ضيق
霞（六级）,rosy clouds,كاسومي
下属（六级）,subordinate,تابع
先进（六级）,advanced,متقدم
先前（六级）,previously,سابقًا
纤维（六级）,fiber,الفيبر
掀起（六级）,set off,انطلقت
鲜明（六级）,clear,متميز
闲话（六级）,gossip,نميمة
贤惠（六级）,virtuous,فاضل
弦（六级）,string,خيط
衔接（六级）,convergence,اتصال
嫌（六级）,dislike,يشتبه
嫌疑（六级）,suspect,يشتبه
显著（六级）,significant,بارِز
现场（六级）,on site,في الموقع
现成（六级）,ready-made,جاهز
现状（六级）,current situation,الوضع الراهن
线索（六级）,clue,فكرة
宪法（六级）,constitution,دستور
陷害（六级）,frame,مؤطر
陷阱（六级）,trap,فخ
陷入（六级）,fall into,الوقوع في
馅儿（六级）,stuffing,حشو
乡镇（六级）,township,بلدة
相差（六级）,difference,اختلاف
相等（六级）,equal,متساوي
相辅相成（六级）,complement each other,الدعم المتبادل
相应（六级）,corresponding,مُتَجَانِس
镶嵌（六级）,mosaic,فسيفساء
响亮（六级）,loud,عالي
响应（六级）,response,إجابة
想方设法（六级）,find a way,ابحث عن طريق
向导（六级）,wizard,ساحر
向来（六级）,always,دائماً
向往（六级）,yearning,توق
巷（六级）,lane,خط
相声（六级）,crosstalk,التداخل
削（六级）,cut,يقطع
消除（六级）,eliminate,اِسْتَبْعَد
消毒（六级）,disinfection,تطهير
消防（六级）,fire protection,مكافحة الحرائق
消耗（六级）,consume,استهلاك
消灭（六级）,eliminate,تمحو
销毁（六级）,destroy,تدمير
潇洒（六级）,dashing,شيك
小心翼翼（六级）,be careful,احرص
肖像（六级）,portrait,لَوحَة
效益（六级）,benefit,فائدة
协会（六级）,association,منظمة
协商（六级）,negotiate,التفاوض
协调（六级）,coordinate,تنسيق
协议（六级）,agreement,بروتوكول
协助（六级）,assist,يساعد
携带（六级）,carry,يحمل
泄露（六级）,leak,افسح الطريق
泄气（六级）,discouraged,محبط
屑（六级）,crumbs,فتات
谢绝（六级）,decline,انخفاض
心得（六级）,experience,خبرة
心甘情愿（六级）,willingly,طوعا
心灵（六级）,mind,روح
心态（六级）,mentality,عقلية
心疼（六级）,distressed,منزعج
心血（六级）,hard work,نزيف القلب
心眼儿（六级）,heart,قلب
辛勤（六级）,hard work,مجتهد
欣慰（六级）,gratified,مرتاح
欣欣向荣（六级）,thrive,مزدهر
新陈代谢（六级）,metabolism,الاسْتِقْلاب
新郎（六级）,groom,العريس
新娘（六级）,bride,زوجة
新颖（六级）,novel,رواية
薪水（六级）,salary,مرتب
信赖（六级）,trust,يثق
信念（六级）,belief,الاعتقاد
信仰（六级）,belief,الإيمان
信誉（六级）,reputation,سمعة
兴隆（六级）,flourish,شينغلونغ
兴旺（六级）,thrive,مزدهرة
腥（六级）,fishy,مريب
刑事（六级）,criminal,مجرم
行政（六级）,administration,إداري
形态（六级）,form,استمارة
兴高采烈（六级）,elated,مبتهج
兴致勃勃（六级）,in high spirits,متحمس للغاية
性感（六级）,sexy,جنسي
性命（六级）,life,حياة
性能（六级）,performance,أداء
凶恶（六级）,vicious,شرير
凶手（六级）,murderer,قاتل
汹涌（六级）,surging,مضطرب
胸怀（六级）,mind,عقل
胸膛（六级）,chest,صدر
雄厚（六级）,strong,قوي
雄伟（六级）,majestic,مهيب
修复（六级）,repair,بصلح
修建（六级）,build,بناء
修养（六级）,self-cultivation,تمرين
羞耻（六级）,shame,عار
绣（六级）,embroidery,تطريز
嗅觉（六级）,sense of smell,يشم
须知（六级）,note,أشياء يجب معرفتها
虚假（六级）,false,خطأ شنيع
虚荣（六级）,vanity,غرور
虚伪（六级）,hypocrisy,منافق
需求（六级）,demand,يحتاج
许可（六级）,permission,رخصة
序言（六级）,preamble,مقدمة
畜牧（六级）,animal husbandry,الثروة الحيوانية
酗酒（六级）,alcoholism,إدمان الكحول
宣誓（六级）,oath,القسم
宣扬（六级）,preach,الدعاية
喧哗（六级）,noisy,ضوضاء
悬挂（六级）,suspension,تعليق
悬念（六级）,suspense,تشويق
悬殊（六级）,disparity,التفاوت
悬崖峭壁（六级）,cliff,المنحدرات
旋律（六级）,melody,لحن
旋转（六级）,spin,تناوب
选拔（六级）,selection,اختيار
选举（六级）,election,انتخاب
选手（六级）,contestant,اللاعبون
炫耀（六级）,show off,تباهى
削弱（六级）,weaken,إضعاف
学说（六级）,theory,نظرية
学位（六级）,degree,بكالوريوس العلوم
雪上加霜（六级）,add insult to injury,إضافة الإهانة إلى الإصابة
血压（六级）,blood pressure,ضغط الدم
熏陶（六级）,edification,تأثير
寻觅（六级）,seek,يبحث
巡逻（六级）,patrol,دورية
循环（六级）,loop,دورة
循序渐进（六级）,step by step,خطوة بخطوة
压迫（六级）,oppression,القمع
压岁钱（六级）,lucky money,المال المحظوظ
压缩（六级）,compression,ضغط
压抑（六级）,depression,اكتئاب
压榨（六级）,press,يضعط
压制（六级）,suppress,قمع
鸦雀无声（六级）,silence,صمت تام
亚军（六级）,runner-up,المتسابق الثاني في السباق
烟花爆竹（六级）,fireworks,ألعاب نارية
淹没（六级）,submerge,مغمورة
延期（六级）,postpone,يؤجل
延伸（六级）,extend,يمتد
延续（六级）,continuation,يكمل
严寒（六级）,severe cold,نزلة برد شديدة
严禁（六级）,strictly prohibited,ممنوع منعا باتا
严峻（六级）,severe,شديد
严厉（六级）,severe,شديد
严密（六级）,strict,ضيق
言论（六级）,speech,خطاب
岩石（六级）,rock,صخر
炎热（六级）,hot,حرارة
沿海（六级）,coastal,ساحلي
掩盖（六级）,cover up,غطاء
掩护（六级）,cover,غطاء
掩饰（六级）,cover up,تغطية
眼光（六级）,vision,رؤية
眼色（六级）,wink,التواصل البصري
眼神（六级）,eyes,التواصل البصري
演变（六级）,evolution,تطور
演习（六级）,drill,يمارس
演绎（六级）,deduction,الخصم
演奏（六级）,play,أداء
厌恶（六级）,disgust,اشمئزاز
验收（六级）,acceptance,قبول
验证（六级）,verify,يؤكد
氧气（六级）,oxygen,الأكسجين
样品（六级）,sample,عينة
谣言（六级）,rumor,إشاعة
摇摆（六级）,swing,يتأرجح
摇滚（六级）,rock,صخر
遥控（六级）,remote control,جهاز التحكم عن بعد
遥远（六级）,far,بعيد
要点（六级）,main point,النقاط الرئيسية
要命（六级）,dead,اللعنة
要素（六级）,factor,عناصر
耀眼（六级）,dazzling,مبهر
野蛮（六级）,barbaric,قاسِي
野心（六级）,ambition,طموح
液体（六级）,liquid,سائل
一度（六级）,one degree,مرة واحدة
一帆风顺（六级）,smooth sailing,إبحار سلس
一贯（六级）,consistently,ثابت
一举两得（六级）,kill two birds with one stone,قتل عصفورين بحجر واحد
一流（六级）,first class,الدرجة الأولى
一目了然（六级）,at a glance,واضح في لمحة
一如既往（六级）,as always,كما هو الحال دائما
一丝不苟（六级）,meticulous,دقيق
一向（六级）,always,دائماً
衣裳（六级）,clothes,ملابس
依旧（六级）,still,ما زال
依据（六级）,basis,وفقا ل
依靠（六级）,rely on,الاعتماد على
依赖（六级）,dependence,يعتمد
依托（六级）,rely on,اعتمد على
仪器（六级）,instrument,أداة
仪式（六级）,ceremony,احتفال
遗产（六级）,legacy,إرث
遗传（六级）,heredity,علم الوراثة
遗留（六级）,legacy,إرث
遗失（六级）,lost,ضائع
疑惑（六级）,doubt,ارتباك
以便（六级）,so that,لهذا السبب.
以免（六级）,so as not to,حتى لا
以往（六级）,past,.في الماضي
以至（六级）,even,حتى
以致（六级）,so that,لهذا السبب
亦（六级）,also,إلى جانب
异常（六级）,abnormal,غير طبيعي
